video_id,title,channel,label
9vQZT2igXN4,How Different Diets Impact Your Health | Dr. Christopher Gardner,Andrew Huberman,nutrition
g-9OLpOst8M,The Healthiest Sweetener.  It's Not What You Think.,Healthy Immune Doc,
yK-43U7qYFg,Coughing? Could You Have Pneumonia?,Healthy Immune Doc,
mJv1_esiJ8g,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging | Huberman Lab Essentials",Andrew Huberman,
XfWOQ2QKFe0,Top 10 Foods: Cancer Fighting Diet,Healthy Immune Doc,nutrition
FA9jT_1sL4M,"Heal Your Liver, Boost Metabolism",Healthy Immune Doc,
YjGlhXxLUOA,#1 Potato For Ultimate Longevity Now!,Healthy Immune Doc,longevity
CyDLbrZK75U,Dr. Andy Galpin: Optimal Protocols to Build Strength & Grow Muscles | Huberman Lab Guest Series,Andrew Huberman,training
uxZFl4BDOGk,"The Biology of Aggression, Mating, & Arousal | Dr. David Anderson",Andrew Huberman,
rtuUcHCTKpU,No More Toxins! Top 10 Foods To Eat Now!,Healthy Immune Doc,
0ZtpuIEkwgY,Which Iron Is Best? It's Not What You Think!,Healthy Immune Doc,
7YGZZcXqKxE,Tools for Setting & Achieving Goals | Dr. Emily Balcetis,Andrew Huberman,
C5KpIXjpzdY,The Science of Hunger & Medications to Combat Obesity | Dr. Zachary Knight,Andrew Huberman,weight
c9JmHOUp6VU,"How to Control Hunger, Eating & Satiety | Huberman Lab Essentials",Andrew Huberman,weight
Kw7JLHgOSbI,The Healthiest Chocolate. It's Not What You Think!,Healthy Immune Doc,
PlQXV2BnYXc,No More Cancer:  Immune Boosting Foods To Eat Now!,Healthy Immune Doc,
3-ukCGQJk2c,Charting the Architecture of the Universe & Human Life | Dr. Brian Keating,Andrew Huberman,
CD0bRU1e1ZM,Tools for Nutrition & Fitness | Dr. Layne Norton,Andrew Huberman,nutrition
SrUqI2KUyfE,Ketones Tracker For Better Weight Loss!,Healthy Immune Doc,weight
m_OazsImOiI,The Science & Treatment of Bipolar Disorder | Huberman Lab Podcast #82,Andrew Huberman,
nDLb8_wgX50,How to Build Immense Inner Strength | David Goggins,Andrew Huberman,training
SuR0DaYoe0Y,How to Deal With High Conflict People | Bill Eddy,Andrew Huberman,
qRECOgd52oI,The Healthiest Diet: It's Not What You Think!,Healthy Immune Doc,nutrition
Hnw28h0HQLs,Replacing Sugar: Top 10 Anti-Inflammatory Sweet Foods,Healthy Immune Doc,nutrition
XfCsmtfIjqI,No More Dementia: Cholesterol Benefits,Healthy Immune Doc,
vm1GbSPx48g,How to Control Your Sense of Pain & Pleasure | Huberman Lab Essentials,Andrew Huberman,
JTSBi8QcfwI,The Secret To Quitting Sugar!,Healthy Immune Doc,longevity;nutrition
HjzrUHVIqyo,No More Diabetes: “Healthy” Foods for Insulin Resistance,Healthy Immune Doc,insulin;training
vfRtLI6cJrk,The Effects of Microplastics on Your Health & How to Reduce Them,Andrew Huberman,longevity
3_auLYOilb8,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Portland, OR",Andrew Huberman,
7SIjcX5B1Vs,Build Your Ideal Physique | Dr. Bret Contreras,Andrew Huberman,
HWcphoKlbxY,Understanding & Conquering Depression | Huberman Lab Essentials,Andrew Huberman,
Nmh6doVlG5c,#1 Superfood to Stop Diabetes & Boost Health!,Healthy Immune Doc,
SigXgMTRZeA,Boosting Immunity: My Top 10 Must Eats,Healthy Immune Doc,
Cm4ui4vZVCM,No More (Pre)Diabetes! Top 10 Unbelievable Foods!,Healthy Immune Doc,
GqPGXG5TlZw,How to Lose Fat with Science-Based Tools,Andrew Huberman,nutrition
G0I0BSfl_2A,Can't Lose Weight? Eat This #1 Food For Weight Loss,Healthy Immune Doc,weight
EQ3GjpGq5Y8,The Science & Health Benefits of Deliberate Heat Exposure | Huberman Lab Podcast #69,Andrew Huberman,
SjPJn4QP0dk,Control Pain & Heal Faster With Your Brain | Huberman Lab Essentials,Andrew Huberman,
rcAyjg-oy84,Dr. Michael Kilgard: How to Rewire Your Brain & Learn Faster,Andrew Huberman,
gXvuJu1kt48,The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92,Andrew Huberman,
ixMaNF8AjjA,Which Cheese Is The Healthiest? It's Not What You Think!,Healthy Immune Doc,
yZ6WXcYpFwc,Fasting. How Long Can You Do It?,Healthy Immune Doc,
HXzTbCEqCJc,How Humans Select & Keep Romantic Partners in Short & Long Term | Dr. David Buss,Andrew Huberman,
Q4qWzbP0q7I,How Foods & Nutrients Control Our Moods | Huberman Lab Essentials,Andrew Huberman,
tYAoTxsopAg,DON'T Trust your Blood Pressure.,Healthy Immune Doc,
AtChcxeaukQ,How to Prevent & Treat Colds & Flu,Andrew Huberman,
MgjxWcz3RBA,Blood Sugar:  The Shocking Truths Nobody Shares!,Healthy Immune Doc,nutrition
kgr22uMsJ5o,Create Your Ideal Future Using Science-Based Protocols | Ari Wallach,Andrew Huberman,longevity
kHUlgP8a6dQ,Fight Breast Cancer: Avoid These 10 Common Foods,Healthy Immune Doc,
gp7lqCVxzD8,5 Symptoms to Never Ignore: Skin Issues,Healthy Immune Doc,
hXZcu7U8l14,5 Symptoms to Never Ignore In Your Abdomen,Healthy Immune Doc,
O2WxVgOziTA,#1 Berry Tea For Weight Loss And Health!,Healthy Immune Doc,weight
iMvtHqLmEkI,How to Exercise for Strength Gains & Hormone Optimization | Dr. Duncan French,Andrew Huberman,training
9tRohh0gErM,Effects of Fasting & Time Restricted Eating on Fat Loss & Health | Huberman Lab Podcast #41,Andrew Huberman,nutrition
tLS6t3FVOTI,Developing a Rational Approach to Supplementation for Health & Performance | Huberman Lab Podcast,Andrew Huberman,supplements
nvyQwfc54NA,Crush Inflammation NOW! 10 Must-Eat Superfoods.,Healthy Immune Doc,longevity
h5SUt_4WWPU,#1 Superfood. No More Cancer! Protect Your DNA Now!,Healthy Immune Doc,
DTCmprPCDqc,"Exercise, Nutrition, Hormones for Vitality & Longevity | Dr. Peter Attia",Andrew Huberman,longevity;nutrition
S_SrHS8FvMM,Dr. Matt Walker: Improve Sleep to Boost Mood & Emotional Regulation | Huberman Lab Guest Series,Andrew Huberman,sleep
5DM8PB_bswM,Superfoods: The Truth About Sprouts.,Healthy Immune Doc,
CqJmKFFYeL0,Beat Diabetes & Lose Weight: Top 10 Best Ways,Healthy Immune Doc,
CDUetQMKM6g,Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi,Andrew Huberman,longevity
O1YRwWmue4Y,How to Optimize Fertility in Males & Females,Andrew Huberman,
UNCwdFxPtE8,Optimize Your Exercise Program with Science-Based Tools | Jeff Cavaliere,Andrew Huberman,
dFR_wFN23ZY,Science of Mindsets for Health & Performance | Dr. Alia Crum,Andrew Huberman,longevity;training
ufsIA5NARIo,"Improve Vitality, Emotional & Physical Health & Lifespan | Dr. Peter Attia",Andrew Huberman,longevity
TG8VM5-CTfw,Journal Club with Dr. Peter Attia | Effects of Light & Dark on Mental Health & Treatments for Cancer,Andrew Huberman,
65lnLZoaZkc,No More Dementia! Top 10 Foods To Eat Now!,Healthy Immune Doc,
VnEy78RL2YY,How to Learn Skills Faster | Huberman Lab Essentials,Andrew Huberman,
gdUNjPijwA8,How Placebo Effects Work to Change Our Biology & Psychology,Andrew Huberman,
NtQ-kdLlQiU,Improve Focus with Behavioral Tools & Medication for ADHD | Dr. John Kruse,Andrew Huberman,neuro
