video_id,title,channel,url
-3fIiw9iKwM,Stay Younger With Stem Cell Boosting Foods!,Healthy Immune Doc,https://www.youtube.com/watch?v=-3fIiw9iKwM
-A1sE7byy-E,5 Bad Habits That Make Heart Attacks; Prevention,Healthy Immune Doc,https://www.youtube.com/watch?v=-A1sE7byy-E
-OBCwiPPfEU,Dr. Matt Walker: The Biology of Sleep & Your Unique Sleep Needs | Huberman Lab Guest Series,Andrew Huberman,https://www.youtube.com/watch?v=-OBCwiPPfEU
-_2S_erNJTY,Which Beef Is The Healthiest? It's Not What You Think.,Healthy Immune Doc,https://www.youtube.com/watch?v=-_2S_erNJTY
-axlManjN_Y,"""Healthy"" Foods That Cause Cancer",Healthy Immune Doc,https://www.youtube.com/watch?v=-axlManjN_Y
-e9ErUozQo4,LIVE EVENT Q&A: Dr. Andrew Huberman at the Brisbane Convention & Exhibition Centre,Andrew Huberman,https://www.youtube.com/watch?v=-e9ErUozQo4
-wIt_WsJGfw,"Using Meditation to Focus, View Consciousness & Expand Your Mind | Dr. Sam Harris",Andrew Huberman,https://www.youtube.com/watch?v=-wIt_WsJGfw
099hgtRoUZw,Boost Attention & Memory with Science-Based Tools | Dr. Wendy Suzuki,Andrew Huberman,https://www.youtube.com/watch?v=099hgtRoUZw
0Axj7dj2CjE,Eat Sugar and Lose Weight! 10 Unbelievable Sweets!,Healthy Immune Doc,https://www.youtube.com/watch?v=0Axj7dj2CjE
0CVozExMpEo,The Truth About Dairy & Plant Milks,Healthy Immune Doc,https://www.youtube.com/watch?v=0CVozExMpEo
0RYyQRQFgFk,Science-Based Mental Training & Visualization for Improved Learning | Huberman Lab Podcast,Andrew Huberman,https://www.youtube.com/watch?v=0RYyQRQFgFk
0Za_3yePTWg,Top 10 Ways to Find Cheap & Healthy Groceries!,Healthy Immune Doc,https://www.youtube.com/watch?v=0Za_3yePTWg
0ZtpuIEkwgY,Which Iron Is Best? It's Not What You Think!,Healthy Immune Doc,https://www.youtube.com/watch?v=0ZtpuIEkwgY
0ksdjxzr1iI,Inflammation: Unaware of Gout? Top 10 Best Foods,Healthy Immune Doc,https://www.youtube.com/watch?v=0ksdjxzr1iI
12ff2W5fv9c,Healthy Immune Doc: How I Stay Healthy Daily.,Healthy Immune Doc,https://www.youtube.com/watch?v=12ff2W5fv9c
13yNqaSxxEc,#1 Cereal for Ultimate Health Boost!,Healthy Immune Doc,https://www.youtube.com/watch?v=13yNqaSxxEc
15R2pMqU2ok,How to Enhance Your Gut Microbiome for Brain & Overall Health,Andrew Huberman,https://www.youtube.com/watch?v=15R2pMqU2ok
1CxJVdeyltw,How to Improve Skin Health & Appearance,Andrew Huberman,https://www.youtube.com/watch?v=1CxJVdeyltw
1FRRtO61E-s,Can't Lose Weight? #1 Food For Fat Loss!,Healthy Immune Doc,https://www.youtube.com/watch?v=1FRRtO61E-s
1Wo6SqLNmLk,Curing All Human Diseases & the Future of Health & Technology | Mark Zuckerberg & Dr. Priscilla Chan,Andrew Huberman,https://www.youtube.com/watch?v=1Wo6SqLNmLk
1ZGiVXchVf0,"Drink Coffee, Burn Fat: The Secret Benefits For Weight Loss!",Healthy Immune Doc,https://www.youtube.com/watch?v=1ZGiVXchVf0
1iBXlMKVG80,Could You Have Liver Inflammation? 10 Things To Avoid.,Healthy Immune Doc,https://www.youtube.com/watch?v=1iBXlMKVG80
26wPcXskVa0,5 Symptoms To NEVER Ignore!,Healthy Immune Doc,https://www.youtube.com/watch?v=26wPcXskVa0
29n0WG317tM,"Life, Death & the Neuroscience of Your Unique Experience | Dr. David Linden",Andrew Huberman,https://www.youtube.com/watch?v=29n0WG317tM
2Ds1m5gflCI,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Seattle, WA",Andrew Huberman,https://www.youtube.com/watch?v=2Ds1m5gflCI
2TYHJchwEOQ,Tap Water & Your Home: Toxins You Need To Know.,Healthy Immune Doc,https://www.youtube.com/watch?v=2TYHJchwEOQ
